0,1,2
203,320,3
152,320,3
191,320,3
175,320,3
239,320,3
221,320,3
234,320,3
189,320,3
173,320,3
155,320,3
161,320,3
219,320,3
205,320,3
232,320,3
204,320,3
172,320,3
156,320,3
218,320,3
212,320,3
202,320,3
225,320,3
215,320,3
174,320,3
213,320,3
165,320,3
124,320,3
211,320,3
195,320,3
224,320,3
183,320,3
208,320,3
167,320,3
196,320,3
231,320,3
270,320,3
135,320,3
226,320,3
255,320,3
193,320,3
179,320,3
181,320,3
138,320,3
154,320,3
194,320,3
178,320,3
217,320,3
176,320,3
166,320,3
281,320,3
240,320,3
253,320,3
137,320,3
187,320,3
177,320,3
235,320,3
223,320,3
230,320,3
236,320,3
158,320,3
185,320,3
198,320,3
157,320,3
141,320,3
180,320,3
170,320,3
160,320,3
216,320,3
200,320,3
206,320,3
229,320,3
188,320,3
201,320,3
168,320,3
150,320,3
214,320,3
227,320,3
184,320,3
186,320,3
209,320,3
199,320,3
171,320,3
257,320,3
148,320,3
360,320,3
258,320,3
207,320,3
197,320,3
220,320,3
317,320,3
210,320,3
169,320,3
192,320,3
182,320,3
256,320,3
228,320,3
251,320,3
302,320,3
241,320,3
190,320,3
